region_id,region,serviced_apartment_rooms,hotel_rooms,total_available_rooms
1,Ar Riyadh,30707.0,29149.0,59856
2,Makkah Al Mukarramah,26811.0,365503.0,392314
3,Al Madinah Al Munawwarah,8481.0,71742.0,80223
4,Al Qaseem,3276.0,2028.0,5304
5,Eastern region,15149.0,17225.0,32374
6,Aseer,9445.0,5132.0,14577
7,Tabuk,3054.0,5961.0,9015
8,Hail,2752.0,1017.0,3769
9,Northern Borders,786.0,1029.0,1815
10,Jazan,3672.0,4309.0,7981
11,Najran,1902.0,1750.0,3652
12,Al Bahah,2226.0,510.0,2736
13,Al Jawf,1596.0,650.0,2246
Total ,,109857.0,506005.0,615862
Source: Ministry of Tourism - Tourism Monitoring Platform (Preliminary data).,,,,Back to Main Menu
