quarter,serviced_apartment_occupancy,hotel_occupancy
Q1 of 2023,0.5300695102593771,0.6320964125695057
Q2 of 2023,0.508742092844369,0.5487356721319565
Q3 of 2023,0.5624683298988471,0.5338695309944059
Q4 of 2023,0.5538603701537791,0.6020428889579027
Q1 of 2024,0.5446076304383254,0.6091660333976459
Q2 of 2024,0.5235358950980256,0.5541816686455264
Q3 of 2024,0.5795779464070433,0.46130983553685667
Q4 of 2024,0.5586531617815653,0.5595377473726013
Q1 of 2025,0.5067465188113802,0.6298520571135863
Q2 of 2025,0.5015611232165568,0.5323783663087764
Q3 of 2025,0.574394531230443,0.490631114814463
Q4 of 2025,0.5593988159326906,0.5731575817160595
Q1of 2026,0.516401529556437,0.6084426231792447
Source: Ministry of Tourism - Tourism Monitoring Platform (Preliminary Data).,,Back to Main Menu
