quarter,saudi_employees,non_saudi_employees,total_employees,female_share
Q1 of 2023,239740.0,660792.0,900532.0,0.13069052515624097
Q2 of 2023,242113.0,670084.0,912197.0,0.13173141328024537
Q3 of 2023,243949.0,675223.0,919172.0,0.13345815581849751
Q4 of 2023,244898.0,684506.0,929404.0,0.13345757065818525
Q1 of 2024,247713.0,696586.0,944299.0,0.13437375238139615
Q2 of 2024,245905.0,713270.0,959175.0,0.13355122892068705
Q3 of 2024,240771.0,707858.0,948629.0,0.132891783826976
Q4 of 2024,242073.0,724458.0,966531.0,0.1330107363343752
Q1 of 2025,243369.0,739884.0,983253.0,0.13160498874653828
Q2 of 2025,247600.0,749757.0,997357.0,0.13208008767171633
Q3 of 2025,245171.0,764520.0,1009691.0,0.13274655315339048
Q4 of 2025,247481.0,783093.0,1030574.0,0.13259600960241574
Q1of 2026,250094.0,797219.0,1047313.0,0.13296789021047195
 Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu
