region_id,region,serviced_apartments_facilities,hotel_facilities,total_licensed_facilities
1,Ar Riyadh,984.0,256.0,1240
2,Makkah Al Mukarramah,652.0,1669.0,2321
3,Al Madinah Al Munawwarah,189.0,472.0,661
4,Al Qaseem,104.0,32.0,136
5,Eastern region,390.0,158.0,548
6,Aseer,322.0,111.0,433
7,Tabuk,89.0,85.0,174
8,Hail,87.0,14.0,101
9,Northern Borders,28.0,17.0,45
10,Jazan,120.0,85.0,205
11,Najran,69.0,37.0,106
12,Al Bahah,71.0,14.0,85
13,Al Jawf,54.0,13.0,67
Total ,,3159.0,2963.0,6122
Source: Ministry of Tourism - Tourism Monitoring Platform (Preliminary data).,,,,Back to Main Menu
