region_id,region,non_saudi_males,non_saudi_females,non_saudi_total,non_saudi_participation_share
1,Ar Riyadh,237520.0,8445.0,245965,0.7137861587036263
2,Makkah Al Mukarramah,207634.0,9202.0,216836,0.7384215114695145
3,Al Madinah Al Munawwarah,48635.0,1015.0,49650,0.783172439901571
4,Al Qaseem,28345.0,324.0,28669,0.8286556637858774
5,Eastern region,119285.0,1826.0,121111,0.7803644376860527
6,Aseer,41979.0,483.0,42462,0.8533360128617363
7,Tabuk,21731.0,956.0,22687,0.8338356365774772
8,Hail,11763.0,120.0,11883,0.8736857584001176
9,Northern Borders,6475.0,113.0,6588,0.893651654910472
10,Jazan,25779.0,309.0,26088,0.8902235113461866
11,Najran,11380.0,257.0,11637,0.901115068917454
12,Al Bahah,5926.0,72.0,5998,0.8557568840062777
13,Al Jawf,7525.0,120.0,7645,0.877424538046597
Total,,773977.0,23242.0,797219,0.761204148139095
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu,
