region_id,region,saudi_males,saudi_females,saudi_total,saudi_participation_share
1,Ar Riyadh,51453.0,47174.0,98627,0.28621384129637367
2,Makkah Al Mukarramah,44943.0,31869.0,76812,0.2615784885304855
3,Al Madinah Al Munawwarah,7933.0,5813.0,13746,0.21682756009842893
4,Al Qaseem,3279.0,2649.0,5928,0.17134433621412262
5,Eastern region,16048.0,18039.0,34087,0.21963556231394735
6,Aseer,3585.0,3713.0,7298,0.14666398713826367
7,Tabuk,2342.0,2179.0,4521,0.16616436342252278
8,Hail,899.0,819.0,1718,0.12631424159988236
9,Northern Borders,402.0,382.0,784,0.10634834508952794
10,Jazan,1571.0,1646.0,3217,0.10977648865381334
11,Najran,500.0,777.0,1277,0.09888493108254608
12,Al Bahah,532.0,479.0,1011,0.14424311599372236
13,Al Jawf,590.0,478.0,1068,0.12257546195340296
Total,,134077.0,116017.0,250094,0.238795851860905
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu,
