region_id,region,january,february,march,quarterly_average
1,Ar Riyadh,0.708117642084408,0.5919682636557827,0.4738149178186093,0.5925074609091435
2,Makkah Al Mukarramah,0.5392882694875797,0.4354974366491123,0.5063817954586428,0.4958702129700228
3,Al Madinah Al Munawwarah,0.6125242984747117,0.5105677924329974,0.5521658334860104,0.5580805493900935
4,Al Qaseem,0.6208443244685765,0.4733415700437179,0.4934860013910372,0.5320291867853519
5,Eastern region,0.6142686757793607,0.4971037674317483,0.4465933974554425,0.5196191176777646
6,Aseer,0.4063292079821005,0.3573930695873855,0.4111533303531515,0.3931040827533069
7,Tabuk,0.4372443366152284,0.3577432101862886,0.3569803220035778,0.385037718599205
8,Hail,0.5967795069114101,0.4465495761038014,0.4672725290895713,0.5066224703743822
9,Northern Borders,0.3936941410129096,0.3755881693927851,0.3602335164835165,0.3764732081677402
10,Jazan,0.5634983036243201,0.4177105148773066,0.4345163204747775,0.4768038384924274
11,Najran,0.630845226847017,0.5961840710552286,0.5797330056786105,0.6024613313098003
12,Al Bahah,0.2865751650447015,0.2467709984152139,0.2930290727180454,0.2763220728961878
13,Al Jawf,0.4661737672464295,0.379503284163036,0.3800179631365199,0.4090834338340094
Source: Ministry of Tourism - Tourism Monitoring Platform (Preliminary data).,,,,Back to Main Menu,
