region_id,region,total_males,total_females,total_employment,region_share
1,Ar Riyadh,288973.0,55619.0,344592,0.32902484739519133
2,Makkah Al Mukarramah,252577.0,41071.0,293648,0.28038227349417033
3,Al Madinah Al Munawwarah,56568.0,6828.0,63396,0.060532047248530285
4,Al Qaseem,31624.0,2973.0,34597,0.03303405954093953
5,Eastern region,135333.0,19865.0,155198,0.14818683621801695
6,Aseer,45564.0,4196.0,49760,0.04751206181915053
7,Tabuk,24073.0,3135.0,27208,0.025978862097577323
8,Hail,12662.0,939.0,13601,0.012986566575608247
9,Northern Borders,6877.0,495.0,7372,0.007038965428673186
10,Jazan,27350.0,1955.0,29305,0.027981128850687424
11,Najran,11880.0,1034.0,12914,0.012330602217293207
12,Al Bahah,6458.0,551.0,7009,0.006692364173842968
13,Al Jawf,8115.0,598.0,8713,0.0083193849403187
Total,,908054.0,139259.0,1047313,1.0
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu,
