region_id,region,establishments,region_share
1,Ar Riyadh,44944.0,0.2538764397195971
2,Makkah Al Mukarramah,45570.0,0.25741254356581617
3,Al Madinah Al Munawwarah,12883.0,0.0727725652569324
4,Al Qaseem,8025.0,0.04533104371550745
5,Eastern region,24778.0,0.1399641870632827
6,Aseer,12938.0,0.07308324530731905
7,Tabuk,5504.0,0.03109059995142094
8,Hail,3742.0,0.021137540882670267
9,Northern Borders,2126.0,0.012009196129491445
10,Jazan,8582.0,0.048477385316695945
11,Najran,3645.0,0.020589614248351984
12,Al Bahah,1780.0,0.01005473617614994
13,Al Jawf,2514.0,0.014200902666764577
Total,,177031.0,1
Source: The Ministry of Human Resources and Social Development - The number includes establishments that have employees.,,,Back to Main Menu
