activity_id,tourism_activity,establishments,activity_share
1,Accommodation for visitors,24790,0.1400319718015489
2,Food and beverage serving activities,114684,0.6478187436098762
3,Railway passenger transport,397,0.0022425450909727674
4,Road passenger transport,4276,0.024153961735515247
5,Water passenger transport,653,0.0036886195073179274
6,Air passenger transport,251,0.0014178307754009185
7,Transport equipment rental,1638,0.009252616773333484
8,Travel agencies and other reservation services activities,3647,0.02060091170472968
9,Cultural activities,384,0.0021691116245177396
10,Sports and recreational activities,5643,0.03187577316967085
11,Other tourism characteristic services in the country,3403,0.0192226220266507
12,Retail trade of tourism characteristic goods in the country,17265,0.09752529218046557
Total,,177031,1.0
Source: The Ministry of Human Resources and Social Development - The number includes establishments that have employees.,,Back to Main Menu,
