activity_id,tourism_activity,non_saudi_males,non_saudi_females,non_saudi_total
1,Accommodation for visitors,106792.0,3383.0,110175
2,Food and beverage serving activities,521548.0,8806.0,530354
3,Railway passenger transport,2029.0,10.0,2039
4,Road passenger transport,31885.0,154.0,32039
5,Water passenger transport,2734.0,78.0,2812
6,Air passenger transport,2748.0,5551.0,8299
7,Transport equipment rental,11661.0,87.0,11748
8,Travel agencies and other reservation services activities,14106.0,692.0,14798
9,Cultural activities,2123.0,152.0,2275
10,Sports and recreational activities,16174.0,1048.0,17222
11,Other tourism characteristic services in the country,11337.0,991.0,12328
12,Retail trade of tourism characteristic goods in the country,50840.0,2290.0,53130
Total,,773977.0,23242.0,797219
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu
