activity_id,tourism_activity,saudi_males,saudi_females,saudi_total
1,Accommodation for visitors,36768.0,24808.0,61576
2,Food and beverage serving activities,51502.0,58225.0,109727
3,Railway passenger transport,4150.0,545.0,4695
4,Road passenger transport,4652.0,3392.0,8044
5,Water passenger transport,996.0,708.0,1704
6,Air passenger transport,6807.0,861.0,7668
7,Transport equipment rental,6014.0,1548.0,7562
8,Travel agencies and other reservation services activities,10139.0,4327.0,14466
9,Cultural activities,1340.0,902.0,2242
10,Sports and recreational activities,2187.0,3371.0,5558
11,Other tourism characteristic services in the country,3424.0,3459.0,6883
12,Retail trade of tourism characteristic goods in the country,6098.0,13871.0,19969
Total,,134077.0,116017.0,250094
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu
