activity_id,tourism_activity,total_males,total_females,total_employment
1,Accommodation for visitors,143560.0,28191.0,171751
2,Food and beverage serving activities,573050.0,67031.0,640081
3,Railway passenger transport,6179.0,555.0,6734
4,Road passenger transport,36537.0,3546.0,40083
5,Water passenger transport,3730.0,786.0,4516
6,Air passenger transport,9555.0,6412.0,15967
7,Transport equipment rental,17675.0,1635.0,19310
8,Travel agencies and other reservation services activities,24245.0,5019.0,29264
9,Cultural activities,3463.0,1054.0,4517
10,Sports and recreational activities,18361.0,4419.0,22780
11,Other tourism characteristic services in the country,14761.0,4450.0,19211
12,Retail trade of tourism characteristic goods in the country,56938.0,16161.0,73099
Total,,908054.0,139259.0,1047313
Source: The Ministry of Human Resources and Social Development.,,,,Back to Main Menu
